Entry_ID,Start_Year,Start_Date,End_Year,End_Date,Display_Date,Era,Track,Geography,Organization,Event_Title,Description_Verified,Why_It_Matters,Impact_on_Interpreting,Impact_on_Deaf_Lives,Social_Justice_Context,Gap_or_Tension,Source_1,Source_2,Source_Type,Verification_Status,Public_Timeline_Priority,Notes_For_Expansion,Suggested_Image_Search
TL001,1880,1880-08-25,,,1880-08-25,Foundations & exclusion,Deaf-led advocacy,United States,NAD,First national convention; NAD founded,"The first national convention of deaf people was held on August 25, 1880, and Robert P. McGregor was elected president of the National Association of the Deaf.",Establishes a Deaf-led national advocacy structure in the U.S. long before the formal professionalization of sign language interpreting.,"Creates the Deaf-led policy and community context that later shaped interpreter ethics, accountability, and certification debates.","Creates a national platform for civil, linguistic, and political advocacy by deaf people.",Post-Reconstruction nation-building; organized rights movements increasingly relied on national associations.,Interpreter history is often told without centering Deaf-led organizing that predates RID and CIT.,https://www.nad.org/about-us/nad-history/,https://www.nad.org/resources/civil-rights-laws/,Official organization pages,Verified,High,Could add early NAD presidents and convention sites later.,early NAD convention; Robert P. McGregor; NAD historical materials
TL002,1880,1880-09-06,,,1880-09-06 to 1880-09-11,Foundations & exclusion,Deaf education / social context,International,ICED / Deaf education,Milan Congress advances oralism over sign language,The 1880 Milan Congress passed resolutions asserting oral education over sign language in deaf education; later Deaf-led and educational bodies explicitly rejected those resolutions.,This event is a major marker of the historical suppression of sign language in education and a key source of later gaps and harms in deaf lives and interpreter development.,Interpreter development cannot be separated from the long-term consequences of language suppression and exclusion of deaf teachers and sign language from schools.,"Associated with sign language devaluation, language deprivation, and exclusion of deaf professionals from classrooms.",Illustrates how expert/educator control over marginalized communities can shape policy for generations.,Students often learn later interpreting history without understanding how oralism shaped the field’s missing pieces.,https://wfdeaf.org/unesco-1880/,https://gallaudet.edu/university-communications/rejection-of-iced-milan-decision-embraced-by-president-hurwitz-other-deaf-educators-and-leaders/,Official organization pages,Verified,High,Could later add 2010 Vancouver repudiation and 2025 joint declaration as linked follow-up events.,Milan Congress 1880; oralism; UNESCO Memory of the World Milan Congress
TL003,1904,,,,1904,Foundations & exclusion,Deaf-led advocacy,United States,NAD,George Veditz elected NAD president; sign language preservation emphasis,"At the 1904 NAD convention, George Veditz was elected president and urged preservation of sign language.",Veditz becomes a central figure in linking Deaf self-determination and sign language preservation.,"Later interpreting ethics and practice depend on sign language being recognized and preserved as language, not treated as a lesser substitute.",Supports the cultural and linguistic legitimacy of Deaf communities.,Language rights and minority cultural preservation became recurring themes across multiple communities in the twentieth century.,"Sign language preservation is often treated as separate from interpreter history, but it is foundational to it.",https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Can later link to Veditz films and preservation efforts.,George Veditz; Veditz preservation sign language
TL004,1910,,,,1910,Foundations & exclusion,Law / employment rights,United States,NAD / federal government,Taft directs removal of federal civil-service barriers for deaf workers,In 1910 President Taft instructed the U.S. Civil Service Commission to remove discriminatory barriers to federal employment for deaf workers.,Shows that Deaf civil-rights advocacy predates disability rights legislation by decades.,Employment access needs later help drive demand for interpreters and communication access in workplaces.,Expands access to federal employment and reframes deafness away from absolute exclusion.,Part of the longer struggle over access to employment and state institutions.,Interpreter timelines often begin too late and miss early Deaf labor-rights victories.,https://www.nad.org/about-us/nad-history/,https://www.nad.org/resources/civil-rights-laws/,Official organization pages,Verified,Medium,Could later pair with employment discrimination milestones.,federal employment deaf history; President Taft civil service deaf
TL005,1920,1920-08-18,,,1920-08-18,Foundations & exclusion,Social justice context,United States,U.S. women’s movement,19th Amendment ratified,"The 19th Amendment was ratified in 1920, prohibiting denial of the vote on the basis of sex.",Useful context row for helping students locate Deaf and interpreting history within broader struggles over political inclusion.,Indirect context; helps frame how the field developed during overlapping fights over political access and representation.,"Provides broader context for participation, though access remained unequal across disability, race, and class.",Women’s suffrage movement.,Voting rights on paper did not equal full access for all women or disabled people.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.archives.gov/milestone-documents/19th-amendment,Secondary timeline + official U.S. archive,Verified,Low,Useful if you want a broader justice layer beginning before mid-century.,19th amendment suffrage 1920
TL006,1920,,,,1920,Foundations & exclusion,Deaf-led advocacy,United States,NAD,NAD adopts resolution defending sign language,"At the 1920 NAD convention, members adopted a resolution calling for defense of sign language.",Demonstrates that Deaf communities were explicitly defending sign language decades before its later linguistic recognition in academic work.,Interpreting practice depends on the status and continued use of sign language; this row helps students see the long fight over language legitimacy.,Affirms sign language as central to communication and community life.,Language rights and cultural self-determination.,Students often misread ASL recognition as beginning only with Stokoe instead of as also rooted in Deaf advocacy.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Can later connect to 1960/1965 Stokoe milestones.,NAD sign language resolution; NAD historical meeting
TL007,1948,,,,1948,Postwar organizing & early professional identity,Interpreter education,United States,Interpreter education,Interpreter education roots identified at Central Bible Institute,"A CIT-hosted review of Carolyn Ball’s history states that interpreter education in the United States began in 1948 at Central Bible Institute in Springfield, Missouri.",Provides an early anchor for interpreter education before RID and before later federal and professional structures.,Shows interpreter preparation did not begin with RID; education roots precede professional association structures.,"Early training efforts helped create a base for later access, even if those roots were uneven and not fully Deaf-centered.","Postwar expansion of training, religious education, and social-service infrastructures.",This is an important early milestone but often absent from simplified timelines.,https://citsl.org/book-review-legacies-and-legends-history-of-interpreter-education-from-1800-to-the-21st-century-by-carolyn-ball/,,Organization-hosted secondary source,Verified (secondary),Medium,"Could later add people named in the review (Lottie Riekehof, William Stokoe, Boyce Williams).",Central Bible Institute interpreter education Springfield Missouri
TL008,1948,1948-12-10,,,1948-12-10,Postwar organizing & early professional identity,Social justice context,International,United Nations,Universal Declaration of Human Rights adopted,The United Nations adopted the Universal Declaration of Human Rights in 1948.,Useful international human-rights anchor for later Deaf rights and sign-language rights frameworks.,Provides a broader rights lens for later framing signed language access as a human-rights issue.,Helps contextualize later disability and Deaf-rights advocacy within international human-rights discourse.,Post-WWII human-rights framework.,Human-rights language did not automatically produce communication access in practice.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.un.org/en/about-us/universal-declaration-of-human-rights,Secondary timeline + official UN page,Verified,Low,Optional depending on how global/human-rights focused the final visual becomes.,Universal Declaration of Human Rights 1948
TL009,1951,1951-09-23,,,1951-09-23,Postwar organizing & early professional identity,International Deaf leadership,International,WFD,World Federation of the Deaf founded in Rome,"The World Federation of the Deaf was founded on 23 September 1951 in Rome, Italy, following the first World Congress of delegates from 25 national deaf associations.","Creates the major international Deaf-led federation that later intersects with interpreting, sign-language rights, and global advocacy.",Provides the Deaf-led global context within which later interpreter organizations such as WASLI emerge.,Builds international Deaf advocacy capacity and representation at the UN and other global forums.,Postwar international institution-building and rights discourse.,Interpreting timelines often underplay Deaf-led global institutions.,https://wfdeaf.org/our-story/,,Official organization page,Verified,High,Could later add WFD presidents and major WFD congresses.,World Federation of the Deaf 1951 Rome
TL010,1954,1954-05-17,,,1954-05-17,Postwar organizing & early professional identity,Social justice context,United States,U.S. civil rights movement,Brown v. Board of Education,"In Brown v. Board of Education, the U.S. Supreme Court held that separate public schools for Black and white students were unconstitutional.","A key civil-rights context row for thinking about segregation, educational access, and later disability-rights and Deaf-rights struggles.",Indirect but powerful context for how educational access and equality debates shaped later expectations for inclusion and support services.,"Helps frame later legal arguments over equality, segregation, and educational rights.",Civil Rights Movement.,Formal desegregation and formal rights did not automatically transform educational quality or access.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.archives.gov/milestone-documents/brown-v-board-of-education,Secondary timeline + official U.S. archive,Verified,Low,Useful to help students see overlapping rights movements.,Brown v Board 1954
TL011,1955,,,,1955,Postwar organizing & early professional identity,Social justice context,United States,U.S. civil rights movement,Montgomery Bus Boycott begins,The Montgomery Bus Boycott began in 1955 and became a central action in the Civil Rights Movement.,Another context row showing that sign language/interpreting history unfolds alongside major mass movements for justice and public access.,Indirect; useful for teaching historical simultaneity.,Contextual rather than direct.,Civil Rights Movement.,"Students often silo disability, Deaf, and civil-rights histories from one another.",https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.nps.gov/malu/learn/historyculture/montgomery-bus-boycott.htm,Secondary timeline + official NPS page,Verified,Low,,Montgomery Bus Boycott 1955
TL012,1958,,,,1958,Postwar organizing & early professional identity,International Deaf leadership,International,WFD,International Week of the Deaf first celebrated,WFD history notes that the International Week of the Deaf was first celebrated in September 1958.,Offers a recurring international community marker that can frame annual Deaf organizing and public visibility.,Highlights how interpreter work develops within Deaf community organizing cycles and public events.,Strengthens transnational Deaf community identity and advocacy visibility.,Postwar international organizing.,Celebration and visibility do not automatically resolve structural access barriers.,https://wfdeaf.org/un-23-sept-as-international-day-of-sign-languages/,https://wfdeaf.org/our-story/,Official organization pages,Verified,Medium,Could later connect to International Day of Sign Languages (2017/2018).,International Week of the Deaf 1958 WFD
TL013,1960,,,,1960,Postwar organizing & early professional identity,Language recognition / scholarship,United States,Gallaudet / ASL scholarship,William Stokoe’s ASL grammar published,Gallaudet notes that in 1960 William Stokoe’s study of sign language challenged prevailing perceptions by treating ASL as a language.,"A major language-legitimacy milestone that shaped deaf education, interpreting, and later scholarship.",Helps shift interpreting away from helper/charity models toward language-based professional practice.,Supports recognition of ASL as language and strengthens Deaf cultural-linguistic claims.,Language-recognition struggles across marginalized communities.,Academic recognition followed long-standing Deaf community knowledge and advocacy.,https://gallaudet.edu/museum/exhibits/history-through-deaf-eyes/awareness-access-and-change/american-sign-language-a-language-recognized/,,Official university page,Verified,High,Could later add title of the work and key collaborators.,William Stokoe 1960 ASL grammar
TL014,1960,,1969,,1960s,Postwar organizing & early professional identity,Interpreter education,United States,Interpreter education,Five national workshops develop admission requirements and curriculum ideas,A CIT-hosted review of Carolyn Ball’s history states that during the 1960s five national workshops were held to develop admission requirements and curriculum for interpreter education programs.,Shows that interpreter education development was already being organized nationally before CIT’s formation.,Helps explain how later program standards and accreditation efforts grew from earlier curriculum work.,Better educational preparation for interpreters has direct consequences for quality of access.,Expansion of federal programs and higher-education access during the Kennedy-Johnson era.,Many early interpreter-education structures are less visible than later certification milestones.,https://citsl.org/book-review-legacies-and-legends-history-of-interpreter-education-from-1800-to-the-21st-century-by-carolyn-ball/,,Organization-hosted secondary source,Verified (secondary),Medium,Could later map these workshops if exact dates/sites are found.,interpreter education workshop 1960s deaf
TL015,1964,1964-07-02,,,1964-07-02,Postwar organizing & early professional identity,Social justice context,United States,U.S. civil rights movement,Civil Rights Act signed,The Civil Rights Act of 1964 prohibited discrimination in public accommodations and employment on several protected grounds.,Creates broader civil-rights context for later disability-rights and Deaf-access claims.,Indirect but important context for thinking about equal access and nondiscrimination frameworks.,Provides a broader rights vocabulary later echoed in disability and access law.,Civil Rights Movement.,Disability and Deaf access were not fully covered within this framework at the time.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.archives.gov/milestone-documents/civil-rights-act,Secondary timeline + official U.S. archive,Verified,Low,,Civil Rights Act 1964
TL016,1964,,,,1964,Postwar organizing & early professional identity,Interpreting organizations / professionalization,United States,RID,Registry of Interpreters for the Deaf formed,RID states that it was formed in 1964 at a conference at Ball State University sponsored by federal agencies and was later incorporated in California in 1973.,A foundational professionalization milestone for signed language interpreting in the United States.,"Creates a national organization around standards, ethics, certification, and professional identity.","Professionalization can improve access quality, but also introduces recurring tensions around accountability, Deaf leadership, and gatekeeping.",Professional associations expanded in many fields during the postwar era.,Professionalization does not automatically mean Deaf-centeredness or equity.,https://rid.org/wp-content/uploads/2023/11/2020-RID-Policies-and-Producedures-Manual_Amended-2023.pdf,https://rid.org/about/,Official organization pages,Verified,High,Could later add founding members and first board if verified from additional archival records.,RID founded Ball State 1964
TL017,1964,,,,1964,Postwar organizing & early professional identity,Deaf-led advocacy,United States,NAD,"NAD governance changes and move to Washington, D.C.","NAD history records that in 1964 Robert G. Sanderson was elected president, headquarters moved to Washington, D.C., and women were given the right to vote in the NAD.",Shows modernization and internal governance change within a major Deaf-led organization during the same period RID was emerging.,Reminds students that Deaf institutions were also changing—not just interpreter institutions.,Expands participation and national advocacy reach.,Civil-rights era institutional change.,Interpreting timelines often detach RID history from concurrent shifts in Deaf governance and representation.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Could later split this into multiple NAD-specific rows if needed.,Robert G. Sanderson NAD; NAD Washington DC history
TL018,1965,,,,1965,Postwar organizing & early professional identity,Social justice context,United States,U.S. civil rights movement,Voting Rights Act enacted,The Voting Rights Act was enacted in 1965.,Useful context row for placing Deaf and interpreting history within broader battles over democratic participation.,Indirect context for later access and communication-rights claims.,"Provides broader rights context, while Deaf voting access issues continued in other forms.",Civil Rights Movement.,Formal voting rights still did not solve accessibility barriers for many deaf and disabled voters.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://www.justice.gov/crt/history-federal-voting-rights-laws,Secondary timeline + official DOJ page,Verified,Low,,Voting Rights Act 1965
TL019,1965,,,,1965,Postwar organizing & early professional identity,Language recognition / scholarship,United States,Gallaudet / ASL scholarship,Dictionary of American Sign Language published,Gallaudet notes that in 1965 the Dictionary of American Sign Language described ASL signs and helped spur further study of sign languages around the world.,Builds on Stokoe’s work and strengthens language recognition for ASL.,Supports a more linguistic and scholarly basis for interpreter education and practice.,Contributes to broader recognition of ASL and Deaf cultural-linguistic identity.,Knowledge production and legitimacy matter in rights struggles.,Academic recognition still lagged behind Deaf lived knowledge.,https://gallaudet.edu/museum/exhibits/history-through-deaf-eyes/awareness-access-and-change/american-sign-language-a-language-recognized/,,Official university page,Verified,High,Could later add names of co-authors and publication details.,Dictionary of American Sign Language 1965
TL020,1966,,,,1966,Postwar organizing & early professional identity,Deaf-led advocacy,United States,NAD,NAD hires first full-time executive director,NAD history states that Frederick C. Schreiber was hired in 1966 as NAD’s first full-time executive director.,Marks increased organizational capacity in a central Deaf-led institution.,"NAD’s organizational capacity later affects national interpreting policy, certification, and ethics collaborations.",Strengthens sustained advocacy infrastructure.,Growth of formal advocacy organizations during the rights era.,Interpreter histories can obscure the administrative and political labor of Deaf institutions.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,,Frederick Schreiber NAD
TL021,1967,,,,1967,Postwar organizing & early professional identity,Deaf-led advocacy,United States,NAD / ASDC,NAD instrumental in establishment of parent organization later known as ASDC,"NAD history states that in 1967 NAD was instrumental in the establishment of the International Association of Parents of Deaf Children, later known as the American Society for Deaf Children.",Shows growth of family/community organizing around deaf children during a formative period.,Family and educational advocacy later shape educational interpreting and school access debates.,Expands support networks and advocacy around deaf children and education.,Rights-era growth of family and community advocacy organizations.,"Family advocacy can support Deaf children, but has also sometimes conflicted with Deaf-led priorities depending on era and approach.",https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Low,Could later add ASDC milestones if you want stronger family/education coverage.,ASDC history deaf children 1967
TL022,1967,,,,1967,Postwar organizing & early professional identity,Language / culture visibility,United States,NTD,National Theatre of the Deaf founded,National Theatre of the Deaf materials state that NTD was established in 1967 with federal support.,A major cultural visibility milestone for signed performance and Deaf artistic presence.,Expands public visibility of signed performance and later intersects with performing-arts interpreting.,Supports Deaf cultural production and public recognition of signed expression.,Arts and cultural institutions were important sites of visibility during the rights era.,"Visibility in arts does not necessarily translate into widespread access in education, employment, or public services.",https://nationaltheatreofthedeaf.org/about/,,Official organization page,Verified,Medium,Could later pair with RID performing-arts SPP (2014).,National Theatre of the Deaf 1967
TL023,1967,,,,1967,Postwar organizing & early professional identity,International Deaf leadership,International,WFD,WFD passes motion to be governed by deaf persons,WFD history states that in 1967 a motion was passed for the WFD to be governed by deaf persons because delegates had often been hearing persons without sign language.,A powerful global Deaf-leadership milestone directly relevant to how interpreter organizations should position themselves in relation to Deaf authority.,Reinforces a Deaf-led frame for international collaboration and later interpreter partnerships.,Strengthens self-determination and representation at the international level.,Self-representation movements across marginalized communities.,Interpreter professionalization can drift away from Deaf-led accountability unless this history remains visible.,https://wfdeaf.org/our-story/,,Official organization page,Verified,High,,WFD 1967 deaf governance
TL024,1972,,,,1972,"Rights, training & infrastructure",Interpreter education,United States,Interpreter education / Gallaudet,First Conference on the Preparation of Personnel in the Field of Interpreting,"A CIT-hosted review of Carolyn Ball’s history states that the first Conference on the Preparation of Personnel in the Field of Interpreting was held at Gallaudet College in 1972, and that the first published curriculum for interpreter training programs followed.","A pivotal early interpreter-education milestone linking national discussion, curriculum building, and later program development.",Helps explain the move from ad hoc training toward more formal interpreter education.,Interpreter quality and educational consistency directly affect communication access.,Growth of higher education and professional training during the 1970s.,The profession has repeatedly revisited similar educational reform ideas without always implementing durable change.,https://citsl.org/book-review-legacies-and-legends-history-of-interpreter-education-from-1800-to-the-21st-century-by-carolyn-ball/,,Organization-hosted secondary source,Verified (secondary),High,Excellent place to add named educators later.,Gallaudet interpreter education conference 1972
TL025,1973,,,,1973,"Rights, training & infrastructure",Law / policy / access,United States,Federal law,Rehabilitation Act / Section 504,Section 504 of the Rehabilitation Act prohibits disability discrimination in federally funded programs and became a foundational disability-rights law.,A key legal anchor for disability rights and later communication access claims.,Helps establish a legal framework for access obligations in federally funded contexts.,"Creates a rights-based basis for challenging exclusion in education, healthcare, and public services receiving federal funds.",Disability rights movement; connected to broader civil-rights strategies.,Legal rights were not self-executing; implementation required sustained protest and enforcement battles.,https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.nad.org/resources/civil-rights-laws/,Official government + official organization page,Verified,High,Could later add Section 504 protest details and 2024 rule update as linked row.,Section 504 Rehabilitation Act 1973
TL026,1975,1975-11-29,,,1975-11-29,"Rights, training & infrastructure",Law / education policy,United States,Federal law / education,Education for All Handicapped Children Act signed,The Education for All Handicapped Children Act was signed on 29 November 1975 and guaranteed a free appropriate public education for children with disabilities.,"A central education-rights milestone later tied to school access, educational interpreting, and IDEA.",School access needs increase demand for qualified educational interpreters and clearer role definitions.,"Expands public education rights for deaf children, though language and placement questions remain contested.",Disability rights movement and special-education reform.,Placement in school did not automatically mean high-quality language access or Deaf-centered education.,https://sites.ed.gov/idea/IDEA-History/,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,Official government page + secondary timeline,Verified,High,Could later trace IDEA reauthorizations and deaf-specific language provisions.,Education for All Handicapped Children Act 1975
TL027,1975,,,,1975,"Rights, training & infrastructure",International interpreting organizations,International,WFD / proto-WASLI,Concept of an international sign language interpreters association proposed,"WASLI’s history states that the concept for an international association of sign language interpreters was first proposed at the 1975 WFD Congress in Washington, D.C.",Provides a global origin point for the later formal creation of WASLI.,Shows that international interpreter organizing has long roots and emerged in relation to Deaf global gatherings.,Potentially strengthens global collaboration around access when tied to Deaf-led institutions.,1970s growth of international rights and professional networks.,"There is often a long lag between proposal, organizing, and formal establishment.",https://wasli.org/about/,,Official organization page,Verified,Medium,"Can later add the 1995, 1999, 2002, and 2003 steps as a mini-arc.",WFD Congress 1975 Washington sign language interpreters
TL028,1976,,,,1976-01,"Rights, training & infrastructure",Interpreting organizations / archival snapshot,United States,RID,RID Executive Board snapshot in InterpreNews,"A January 1976 RID InterpreNews page lists Carl J. Kirchner as President, Celia Warshawsky as Vice President, Lucille N. Olson as Treasurer, and James Stangarone, Ralph Neesam, and William Peace on the executive board.",Provides a verified archival leadership snapshot useful for later leadership mapping.,Helps reconstruct organizational leadership rather than relying only on later summaries.,Indirect; leadership mapping helps analyze who shaped the profession and how.,Professional association consolidation during the 1970s.,"RID leadership history is not fully centralized in one easy public list, so archival reconstruction matters.",Uploaded in this chat: RID InterpreNews (January 1976),,User-provided archival source,Verified (archival),Low,Good row to link to a separate leadership sheet rather than the student-facing public timeline.,RID InterpreNews January 1976
TL029,1977,,,,1977,"Rights, training & infrastructure",Social justice context,United States,Disability rights movement,Section 504 protests,The GCDD social-movements timeline records protests in 10 cities in 1977 over implementation and enforcement of Section 504.,A major disability-rights context row showing that legal rights required collective action to become enforceable.,Indirect context for understanding why access rights do not automatically materialize without activism.,Part of the broader disability-rights landscape that shaped later access expectations.,Disability rights movement.,"A rights framework can still fail without enforcement, coalition, and public pressure.",https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,https://acl.gov/504rule,Secondary timeline + official government page,Verified,Medium,,Section 504 protests 1977
TL030,1978,,,,1978,"Rights, training & infrastructure",Interpreter education / professionalization,United States,CIT,Idea for CIT begins at RID convention in Rochester,"CIT states that the idea began during the 1978 RID Convention in Rochester, New York.",A crucial bridge point between interpreter professionalization and interpreter education.,Marks the start of a national organization specifically focused on interpreter educators rather than only practitioners.,"Better educator collaboration can improve interpreter preparation and, eventually, service quality.",Late-1970s professional and educational organizing.,"Training capacity was expanding, but quality and standards remained uneven.",https://citsl.org/about/,,Official organization page,Verified,High,Could later add Rochester convention details if found in proceedings.,RID convention Rochester 1978 CIT
TL031,1979,1979-10-04,,,1979-10-04 to 1979-10-06,"Rights, training & infrastructure",Interpreter education / professionalization,United States,CIT,First CIT convention held; Anna Witter-Merithew and Becky Carlson identified as co-founders,"CIT states that its first convention was held October 4–6, 1979 at St. Paul Technical Vocational Institute in Minnesota and identifies Anna Witter-Merithew and Becky Carlson as co-founders.",A foundational interpreter-education milestone with named organizers.,"Creates a durable organization for interpreter educators, curriculum, conference exchange, and later standards work.",Interpreter education quality has downstream effects on communication access and Deaf people’s experiences with interpreters.,Expansion of specialized professional organizations.,Professional educator organization does not by itself ensure Deaf-centered pedagogy or consistent standards.,https://citsl.org/about/,,Official organization page,Verified,High,You may want a linked leadership table for CIT board members later.,first CIT convention 1979 St Paul; Anna Witter-Merithew Becky Carlson
TL032,1987,,,,1987,Deaf-centered turning point,Deaf-led advocacy,United States,NAD / Gallaudet context,NAD issues call for a Deaf president at Gallaudet,NAD history records that in 1987 it called for appointment of a deaf president at Gallaudet.,Direct precursor to Deaf President Now and a strong example of Deaf-led leadership demands.,Reinforces the importance of Deaf authority and self-representation in institutions that affect the field.,Centers Deaf leadership in Deaf institutions.,Late-1980s rights activism and demands for representation.,Institutions serving Deaf people were still often led by hearing people.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,High,Good lead-in row immediately before DPN.,NAD call for deaf president 1987
