Entry_ID,Start_Year,Start_Date,End_Year,End_Date,Display_Date,Era,Track,Geography,Organization,Event_Title,Description_Verified,Why_It_Matters,Impact_on_Interpreting,Impact_on_Deaf_Lives,Social_Justice_Context,Gap_or_Tension,Source_1,Source_2,Source_Type,Verification_Status,Public_Timeline_Priority,Notes_For_Expansion,Suggested_Image_Search
TL033,1987,,,,1987,Deaf-centered turning point,International interpreting organizations,Europe,efsli,Prehistory of efsli begins at Albi conference and WFD Congress discussions,efsli history states that in 1987 a conference in Albi examined sign language interpreting in Europe and that interpreters working at the WFD Congress in Finland in 1987 agreed to hold the first structured efsli seminar in Glasgow in 1988.,Establishes the roots of European interpreter cooperation before the organization matured.,Shows how European signed-language interpreters began building transnational professional dialogue.,Potentially improves quality and coordination in interpreting across national contexts.,Late-1980s European transnational collaboration.,European interpreter collaboration also unfolded amid different national legal and linguistic regimes.,https://efsli.org/about-us/history/,,Official organization page,Verified,Medium,Could later add formal membership and governance milestones.,efsli history 1987 Albi Glasgow
TL034,1988,,,,1988,Deaf-centered turning point,International interpreting organizations,Europe,efsli,First efsli seminar held in Glasgow,efsli history states that the first structured efsli seminar was held in Glasgow in 1988 following discussions in 1987.,A concrete early milestone in European signed-language interpreter networking.,Supports professional exchange and cross-border discussion among interpreters and translators in Europe.,Indirect but important for quality and professional development across signed-language contexts.,European professional and linguistic collaboration.,A European interpreter forum does not automatically resolve national differences in Deaf rights or interpreting structures.,https://efsli.org/about-us/history/,,Official organization page,Verified,Medium,,efsli Glasgow 1988
TL035,1988,1988-03,,,March 1988,Deaf-centered turning point,Deaf-led advocacy,United States,Gallaudet / DPN,Deaf President Now,"Gallaudet states that in March 1988 the Deaf President Now protest transformed the university and led to the appointment of the first Deaf president, I. King Jordan.","A defining Deaf-led movement that reshaped expectations about representation, authority, and Deaf-centered decision-making.",Provides a critical frame for asking who interpreters are accountable to and whose leadership should guide the field.,Massively expands public visibility and political power of Deaf self-determination.,Disability rights movement; student protest; representation politics.,The field still continues to wrestle with implementing Deaf-led values in practice.,https://gallaudet.edu/deaf-president-now/,https://www.nad.org/about-us/nad-history/,Official university + official organization page,Verified,High,Could later add 4 demands and major student leaders.,Deaf President Now March 1988
TL036,1989,,,,1989,Deaf-centered turning point,Social justice context,United States,Intersectionality / legal scholarship,Kimberlé Crenshaw coins “intersectionality”,The GCDD timeline identifies 1989 as the year Kimberlé Crenshaw coined “intersectionality.”,"A valuable context row for helping students think beyond one-axis narratives of Deaf, disability, race, gender, and language justice.","Supports analysis of how interpreter training, access, and leadership affect people differently across intersecting identities.",Helps frame Deaf experiences that cannot be reduced to one identity category.,Intersectional feminist and legal scholarship.,The interpreting field often still treats diversity as additive rather than structural and intersectional.,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,,Secondary timeline,Verified,Medium,"Could pair later with NAOBI, Mano a Mano, DeafBlind, and DeafDisabled leadership developments.",Kimberle Crenshaw intersectionality 1989
TL037,1990,,,,1990,Deaf-centered turning point,Law / policy / access,United States,Federal law,Americans with Disabilities Act signed,The ADA is a federal civil-rights law that prohibits discrimination on the basis of disability in many areas of public life.,One of the most important legal anchors for disability access in the United States.,"Strengthens the legal framework for communication access obligations in employment, public services, and public accommodations.","Deeply shapes access claims in education, work, healthcare, justice, and public life.",Disability rights movement; often taught alongside DPN and Section 504 protests.,"Legal compliance does not guarantee high-quality, language-matched, or culturally responsive access.",https://www.ada.gov/topics/intro-to-ada/,https://www.nad.org/about-us/nad-history/,Official government + official organization page,Verified,High,Could later add Title II/III case examples relevant to interpreters.,ADA signing 1990
TL038,1990,,,,1990,Deaf-centered turning point,Law / media access,United States,Federal law / NAD advocacy,Television Decoder Circuitry Act,NAD history states that NAD leadership helped secure passage of the Television Decoder Circuitry Act in 1990.,A major media-access milestone that changed everyday access to televised content.,"Not an interpreting law, but a vital access row showing that Deaf access is not synonymous with interpreting alone.",Expands routine access to televised information through caption-capable devices.,Media-access and disability-rights advocacy.,"Captioning access is essential, but does not replace sign-language access needs.",https://www.nad.org/about-us/nad-history/,https://www.nad.org/resources/civil-rights-laws/,Official organization pages,Verified,Medium,Could later add CVAA as a follow-on digital-era row.,Television Decoder Circuitry Act 1990
TL039,1994,,,,1994,Globalization & specialization,Interpreting organizations / certification,United States,NAD + RID,NAD-RID Task Force on Interpreting formed,NAD history states that the NAD-RID Task Force on Interpreting was formed in 1994.,A key collaboration point between a Deaf-led organization and the major interpreter organization.,"Shapes national conversations about certification, ethics, and interpreter shortages.",Potentially improves accountability when Deaf organizations help shape interpreting policy.,1990s focus on implementation of disability rights and institutional reform.,"Collaboration can be productive, but power imbalances between organizations remain important to track.",https://www.nad.org/about-us/nad-history/,https://www.casli.org/2016/07/05/history-of-the-nic/,Official organization pages,Verified,High,Could later add who served on the task force and outputs produced.,NAD RID task force interpreting 1994
TL040,1994,1994-01-27,,,1994-01-27,Globalization & specialization,Certification / workforce,United States,NAD + RID / NIC history,National Interpreter Crisis task force meets as part of NIC pathway,"CASLI’s history of the NIC states that after conversations between RID and NAD leadership, representatives met at the RID office on January 27, 1994, beginning the NAD-RID task-force process that eventually led to the National Interpreter Certification.",Gives a concrete date for a major certification-development arc.,Links interpreter shortage concerns to national testing and certification redesign.,Certification debates affect who enters the field and what counts as qualified access.,Professionalization and accountability debates in the 1990s.,Workforce shortage solutions can create new barriers if not aligned with Deaf community needs and educational realities.,https://www.casli.org/2016/07/05/history-of-the-nic/,,Official organization page,Verified,Medium,"Can later be linked to 1996, 1997, and 2000 NIC development rows.",National Interpreter Crisis task force 1994
TL041,1995,,,,1995,Globalization & specialization,International interpreting organizations,International,WASLI (pre-formation),Vienna WFD Congress step toward WASLI statutes,WASLI history states that in 1995 interpreters at the WFD Congress in Vienna selected Raija Moustegaard and Raili Ojala-Signell to develop statutes for an international interpreters association.,A concrete organizing step between the 1975 idea and WASLI’s eventual creation.,Shows that international interpreter organization-building involved sustained multiyear drafting work.,Potentially improves coordination of interpreter development worldwide when linked to Deaf-led global forums.,1990s globalization and transnational organizing.,International professionalization is slow and shaped by uneven national resources and priorities.,https://wasli.org/about/,,Official organization page,Verified,Medium,Good place to later add named founders/leaders.,WFD Vienna 1995 sign language interpreters
TL042,1996,,,,1996,Globalization & specialization,Law / telecommunications access,United States,Federal law / NAD advocacy,Telecommunications Act of 1996,NAD history states that NAD advocated for the passage of the Telecommunications Act of 1996.,A major telecommunications-access context row in the period leading to VRS growth.,Telecommunications policy becomes part of the infrastructure that later reshapes remote interpreting and relay services.,Expands communication access through telecommunications policy developments.,1990s communications-policy reform and digital transition.,Telecommunications access still did not solve all sign-language access issues and often lagged in implementation.,https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,Could later add captioning/relay-specific provisions if you want more policy granularity.,Telecommunications Act 1996 deaf access
TL043,1996,,,,1996,Globalization & specialization,Certification / workforce,United States,NAD + RID / NIC history,Task force agrees to develop a new joint certification instrument,CASLI’s NIC history states that in June 1996 the NAD-RID task force agreed to develop a new joint certification instrument.,A decisive development point in the redesign of national interpreter certification.,Helps explain how the field moved toward a joint national certification exam rather than older parallel systems.,"Testing design affects service quality, interpreter supply, and the structure of accountability.",1990s reform of professional standards and testing.,"Certification redesign can address one crisis while creating others around access, fairness, and educational alignment.",https://www.casli.org/2016/07/05/history-of-the-nic/,,Official organization page,Verified,Medium,,NIC development 1996
TL044,1997,,,,1997,Globalization & specialization,Law / education policy,United States,IDEA / NAD advocacy,IDEA reauthorization recognizes unique language and communication needs,"NAD history states that in 1997 NAD attained key changes to IDEA recognizing the unique language and communication needs of deaf, hard of hearing, and deafblind children.",A crucial education row because it ties schooling to language and communication needs rather than generic disability placement alone.,"Supports better framing of educational interpreting within language and communication planning, not only disability accommodation.",Improves recognition of deaf children’s linguistic and communication needs in schooling.,Special-education reform and disability-rights implementation.,Recognition in law does not ensure high-quality educational practice or appropriate interpreter qualifications.,https://www.nad.org/about-us/nad-history/,https://sites.ed.gov/idea/IDEA-History/,Official organization + official government page,Verified,High,Could later add educational interpreting guidance rows nearby.,IDEA 1997 deaf communication needs
TL045,1997,,,,1997,Globalization & specialization,Professional standards / Deaf interpreters,United States,RID,RID Standard Practice Paper on the use of a Certified Deaf Interpreter,RID’s resources page lists “Use of a Certified Deaf Interpreter” as a 1997 Standard Practice Paper.,An important milestone in formalizing Deaf interpreter use within professional guidance.,Signals that Deaf interpreters are not ad hoc additions but recognized practitioners with specific value in many settings.,"Can improve access quality, especially for linguistically diverse, DeafBlind, minimally language-fluent, or otherwise complex communication situations.",Growing attention to specialized practice and Deaf-centered access.,Recognition of Deaf interpreters in policy has not always been matched by workforce development or routine practice.,https://rid.org/resources/,,Official organization page,Verified,High,Could later add CDI credentialing history if more archival evidence is gathered.,RID Certified Deaf Interpreter standard practice paper
TL046,1999,,,,1999,Globalization & specialization,International interpreting organizations,International,WASLI (pre-formation),Brisbane working-group milestone for WASLI,"WASLI history states that at the 1999 WFD Congress in Brisbane, about 150 interpreters from 30 nations met and agreed on a working group to continue development.",Shows growing international scale and consensus before formal establishment.,Demonstrates transnational momentum toward a worldwide sign-language interpreter association.,Potentially increases the global infrastructure for interpreting standards and collaboration.,Late-1990s globalization and transnational professional networking.,Large international participation does not erase resource inequalities across countries.,https://wasli.org/about/,,Official organization page,Verified,Medium,,WFD Brisbane 1999 WASLI working group
TL047,1999,1999-06-22,,,1999-06-22,Globalization & specialization,Law / disability rights,United States,U.S. Supreme Court,Olmstead v. L.C.,"On June 22, 1999, the U.S. Supreme Court held in Olmstead that unjustified segregation of disabled people is discrimination under the ADA.",A major disability-rights context row for understanding community integration and anti-institutionalization as part of disability justice.,"Indirect context; reminds students that access is tied to community inclusion, not only service provision.","Relevant especially where deaf-disabled, DeafBlind, and institutionalization histories intersect with access and autonomy.",Disability rights movement and deinstitutionalization.,"Community integration rights still depend on funding, services, and local implementation.",https://www.ada.gov/olmstead/,https://gcdd.org/images/Reports/us-social-movements-web-timeline.pdf,Official government page + secondary timeline,Verified,Low,,Olmstead 1999 disability rights
TL048,1999,,,,1999,Globalization & specialization,Access technology / healthcare access,United States,NAD / VRS / healthcare access,NAD supports VRS pilot programs and hospital interpreter access work,NAD history states that in 1999 NAD supported VRS pilot programs and pushed hospitals to provide interpreters or other communication accommodations.,Connects telecommunications change with healthcare access and everyday service delivery.,Signals the coming growth of relay/video-based services and continuing struggles over healthcare interpreting access.,Improves possibilities for communication in healthcare and remote communication settings.,Digital transition and access implementation in the late 1990s.,"Technology can expand access while also introducing new quality, labor, and equity questions.",https://www.nad.org/about-us/nad-history/,,Official organization page,Verified,Medium,,VRS pilot programs 1999 deaf
TL049,2000,2000-03-06,,,2000-03-06,Globalization & specialization,Access technology / telecommunications,United States,FCC / TRS,FCC permits interstate recovery of VRS costs,"Federal Register material states that the FCC’s March 6, 2000 Improved TRS Order expanded relay services and permitted recovery of Video Relay Service costs through the interstate TRS funding mechanism.",A major infrastructure step in the growth of VRS.,Helps create conditions for VRS as a major interpreting sector.,Expands remote signed telephone access.,Telecommunications reform and digital-era disability access.,"Remote access growth also transforms labor conditions, quality control, and Deaf consumer expectations.",https://www.federalregister.gov/documents/2002/01/29/02-1982/telecommunications-relay-services-and-speech-to-speech-services-for-individuals-with-hearing-and,,Official government publication,Verified,Medium,Could later pair with RID VRS SPP (2007).,FCC VRS 2000
TL050,2000,,,,2000,Globalization & specialization,Certification / workforce,United States,NIC history,Arizona funding accelerates development of new national certification test,CASLI’s NIC history states that in 2000 an award from the Arizona Commission for the Deaf and Hard of Hearing accelerated development of the new test.,Shows how external funding supported certification redesign.,Helps move certification reform from planning into actual test development.,Certification systems affect who is available to provide services and how competence is defined.,Institutional investment in access infrastructure.,Certification development can be expensive and structurally shape entry into the profession.,https://www.casli.org/2016/07/05/history-of-the-nic/,,Official organization page,Verified,Low,,Arizona Commission Deaf Hard of Hearing 2000 interpreter certification
TL051,2002,,,,2002,Globalization & specialization,Access technology / telecommunications,United States,FCC / VRS,FCC establishes interim VRS reimbursement rate,A 2002 Federal Register order established an interim reimbursement rate for Video Relay Service from the Interstate TRS Fund while the FCC evaluated the service.,Moves VRS from pilot/experimental phase toward more stable infrastructure.,Supports growth of VRS as a major employment and service-delivery domain.,Expands availability of signed telephone relay communication.,Digital communications infrastructure in the early 2000s.,"Scaling up technology raises persistent questions about quality, working conditions, and equitable access.",https://www.federalregister.gov/documents/2002/01/29/02-1982/telecommunications-relay-services-and-speech-to-speech-services-for-individuals-with-hearing-and,,Official government publication,Verified,Low,,Video Relay Service 2002 FCC
TL052,2002,,,,2002,Globalization & specialization,International interpreting organizations,International,RID + WFD + proto-WASLI,World Symposium for Sign Language Interpreters updates WASLI working group,"WASLI history states that a 2002 World Symposium for Sign Language Interpreters in Washington, D.C., sponsored by RID, updated the working group developing the future association.",Provides the immediate organizational lead-in to WASLI’s formal establishment in 2003.,Shows how RID intersected with international interpreter organizing during this period.,Potentially strengthens international collaboration around interpreting access.,Early-2000s global professional networking.,International interpreter organizing still required alignment with Deaf-led global institutions and varied national needs.,https://wasli.org/about/,,Official organization page,Verified,Medium,,World Symposium for Sign Language Interpreters 2002 Washington
TL053,2003,2003-07-23,,,2003-07-23,Globalization & specialization,International interpreting organizations,International,WASLI,WASLI formally established in Montreal,"WASLI states that it was established on 23 July 2003 during the 14th World Congress of the WFD in Montreal, Canada.",A major global signed-language interpreter-organization milestone.,Creates a worldwide professional association focused specifically on sign language interpreters.,Can improve global collaboration and standards if connected to Deaf-led priorities and rights.,Globalization and international professional association growth.,"Global professional structures still must navigate language, power, and resource differences across countries.",https://wasli.org/about/,https://rid.org/resources/,Official organization pages,Verified,High,Could later add early executive board members.,WASLI Montreal 2003
TL054,2005,2005-07-01,,,2005-07-01,Globalization & specialization,Ethics / standards,United States,NAD + RID,NAD-RID Code of Professional Conduct takes effect,"The NAD-RID Code of Professional Conduct states that NAD and RID members voted to adopt the CPC effective July 1, 2005, replacing the earlier code of ethics.",One of the most important ethics milestones in U.S. signed-language interpreting.,"Reshapes ethical discourse, professional expectations, and training.","Ethics frameworks influence autonomy, consent, confidentiality, team practice, and interpreter accountability.",Professional ethics reform and accountability.,"Ethics codes can be interpreted narrowly unless tied to power, access quality, and Deaf community perspectives.",https://wasli.org/wp-content/uploads/2022/11/Code_of_Ethics_RID.pdf,,Official document hosted by organization,Verified,High,Could later add major CPC debates or revisions.,NAD RID Code of Professional Conduct 2005
TL055,2006,,,,2006,Globalization & specialization,Interpreter education / accreditation,North America,CCIE,CCIE founded,"CCIE states that it was founded in 2006 to promote professionalism in sign language interpreter education through accreditation, after nearly two decades of collaborative work by six stakeholder organizations.",A major program-quality and accreditation milestone in interpreter education.,Creates an accreditation pathway for interpreter education programs rather than relying only on informal reputation or local standards.,Program quality affects interpreter readiness and service quality.,Accountability and accreditation in higher education.,Accreditation can raise standards while also reflecting institutional inequalities and competing definitions of quality.,https://www.ccie-accreditation.org/about-ccie.html,https://citsl.org/book-review-legacies-and-legends-history-of-interpreter-education-from-1800-to-the-21st-century-by-carolyn-ball/,Official organization page + organization-hosted secondary source,Verified,High,Could later add accredited programs and standards revisions.,CCIE accreditation interpreter education 2006
TL056,2006,2006-12-13,,,2006-12-13,Globalization & specialization,International law / human rights,International,United Nations / WFD context,Convention on the Rights of Persons with Disabilities adopted,The United Nations adopted the Convention on the Rights of Persons with Disabilities on 13 December 2006. WFD notes that the treaty includes sign language rights multiple times.,A major international human-rights framework for disability and sign-language rights.,Strengthens international framing of signed language interpreting as part of accessibility and communication rights.,"Supports legal and policy advocacy around sign languages, education, information, and participation.",Global disability-rights movement and treaty-making.,Treaty recognition still depends on domestic implementation and enforcement.,https://treaties.un.org/pages/viewdetails.aspx?chapter=4&clang=_en&mtdsg_no=iv-15&src=treaty,https://wfdeaf.org/our-story/,Official UN + official organization page,Verified,High,Could later add 2007 signature/opening date or country ratification examples.,CRPD 2006 sign language rights
TL057,2006,,2016,,Fall 2006 to Summer 2016,Globalization & specialization,Educational interpreting / certification policy,United States,RID / EIPA,RID recognizes EIPA 4.0+ holders as certified members,RID’s resources page states that from the fall of 2006 to the summer of 2016 RID recognized individuals who passed the EIPA written and performance tests at 4.0 or higher as certified members of the association.,A major educational-interpreting and credentialing policy bridge.,Links educational interpreting credentials to RID membership/certification structures and highlights tensions between educational and community-practice pathways.,School-age deaf students are directly affected by educational interpreter qualifications and recognition systems.,Professional inclusion and recognition of educational interpreters within the broader field.,Recognition systems for educational interpreters have been contested and uneven across time and states.,https://rid.org/resources/,,Official organization page,Verified,Medium,Could later add EIPA policy changes and NAIE if desired.,EIPA RID agreement educational interpreters
TL058,2007,,,,2007,Globalization & specialization,Professional standards / specialization,United States,RID,RID publishes multiple specialization-focused Standard Practice Papers,"RID’s resources page lists multiple 2007 Standard Practice Papers, including legal settings, mental health, religious settings, VRS, health care, team interpreting, DeafBlind interpreting, mentoring, and more.",Shows the field’s increasing specialization and the attempt to formalize practice expectations across settings.,Provides field guidance for specialized domains and team-based work.,Potentially improves service consistency across high-stakes settings like health care and law.,Professional specialization and standards-building.,Written practice papers do not ensure practitioner competence or systemic support for specialty practice.,https://rid.org/resources/,,Official organization page,Verified,Medium,"You could later split this into individual rows for legal, health care, VRS, etc. if the final timeline needs more granularity.",RID Standard Practice Papers 2007
TL059,2008,2008-09-25,,,2008-09-25,Globalization & specialization,Law / policy / access,United States,Federal law,ADA Amendments Act signed,"The ADA Amendments Act was signed on September 25, 2008 to restore the intended breadth of ADA protections.",An important legal update that affects the scope of disability-rights protections.,"Indirectly shapes the legal environment in which access claims, including interpreting-related claims, are made.",Strengthens disability-rights coverage by broadening interpretation of disability.,Ongoing disability-rights implementation and statutory correction.,Broader coverage still does not resolve quality-of-access issues on its own.,https://www.eeoc.gov/statutes/ada-amendments-act-2008,,Official government page,Verified,Low,,ADA Amendments Act 2008
TL060,2010,2010-07-19,,,2010-07-19,Globalization & specialization,Deaf education / language rights,International,ICED / WFD / Deaf education,21st ICED adopts statement rejecting the harmful Milan decision,"Gallaudet reported that on July 19, 2010, the 21st ICED in Vancouver adopted a statement of principle rejecting the harmful effects of the Milan Congress and calling for respect for all languages and forms of communication in deaf education.",A highly visible symbolic and educational turning point in global deaf-education history.,Reinforces the language-rights framework in which sign language interpreting and Deaf-centered education should be understood.,Acknowledges historical harm and supports sign-language inclusion in education.,Historical redress and recognition.,Symbolic repudiation does not automatically undo generations of language deprivation or educational inequity.,https://gallaudet.edu/university-communications/rejection-of-iced-milan-decision-embraced-by-president-hurwitz-other-deaf-educators-and-leaders/,https://wfdeaf.org/vancouver-2010-a-new-era-of-participation-and-collaboration-moving-forward-from-the-effects-of-the-1880-milan-resolution/,Official university + official organization page,Verified,High,Could later add the New Era statement itself.,Vancouver 2010 A New Era deaf participation collaboration
TL061,2010,,,,2010,Globalization & specialization,Law / media access,United States,Federal law,Twenty-First Century Communications and Video Accessibility Act,NAD’s civil-rights laws page highlights the CVAA as a major accessibility law requiring accessible devices for video programming and extending captioning obligations to internet-delivered video.,A major digital-era access law.,"Reminds students that communication access includes interpreting, captioning, device accessibility, and platform design.",Expands accessibility in online/video communication environments.,Digital-access policy in the internet era.,Digital accessibility law does not itself guarantee signed-language presence or quality communication access.,https://www.nad.org/resources/civil-rights-laws/,https://www.nad.org/resources/technology/captioning-and-communications-technologies/cvaa/,Official organization pages,Verified,Medium,,CVAA 2010 deaf access
TL062,2010,,,,2010,Globalization & specialization,Educational interpreting / standards,United States,RID,RID issues K-12 educational interpreting overview and VRI guidance,RID’s resources page lists a 2010 Standard Practice Paper on Video Remote Interpreting and a 2010 overview of K-12 educational interpreting.,Shows the field responding both to school-specific practice and to remote-service models.,Expands formal guidance in two increasingly important practice domains: educational settings and remote delivery.,Affects the quality of school access and remote communication access.,Growth of educational and digital access standards.,"Guidance documents cannot fully resolve systemic issues such as low pay, uneven qualifications, or inappropriate service delivery models.",https://rid.org/resources/,,Official organization page,Verified,Low,,RID K-12 educational interpreting 2010 VRI
TL063,2016,2016-07-01,,,2016-07-01,"Remote access, accountability & technology",Certification / organizational structure,United States,CASLI / RID,CASLI founded as separate testing entity,"CASLI states that it was founded on July 1, 2016; RID created CASLI as a separate organization to administer, maintain, and develop examinations for NIC and CDI credentials.",A major structural change in certification administration.,Separates testing operations from RID’s broader membership and governance functions.,"Testing structures affect interpreter supply, accountability, and public trust in credentials.",Governance reform and accountability in professional testing.,"Structural separation does not by itself solve debates about test validity, fairness, or alignment with community needs.",https://www.casli.org/about-casli/,,Official organization page,Verified,Medium,Could later add milestones in exam redevelopment.,CASLI founded 2016
TL064,2017,2017-12-19,,,2017-12-19,"Remote access, accountability & technology",International Deaf leadership / language rights,International,United Nations / WFD,UN declares International Day of Sign Languages,"WFD states that on December 19, 2017 the United Nations declared September 23 the International Day of Sign Languages.",A global language-rights visibility milestone explicitly tied to WFD’s founding date.,"Raises public attention to sign languages and, indirectly, to the role of signed language access and interpreting.",Symbolically strengthens international recognition of sign languages and Deaf communities.,UN recognition and symbolic rights visibility.,Symbolic recognition still requires policy implementation and everyday access work.,https://wfdeaf.org/un-23-sept-as-international-day-of-sign-languages/,,Official organization page,Verified,Medium,Could later add the 2018 first celebration as a follow-up row or use both together.,UN International Day of Sign Languages 2017
TL065,2018,2018-09-23,,,2018-09-23,"Remote access, accountability & technology",International Deaf leadership / language rights,International,United Nations / WFD,First International Day of Sign Languages celebrated,WFD states that the first International Day of Sign Languages was celebrated on 23 September 2018.,Useful as a recurring annual hook for student engagement and global framing.,Supports public education around sign languages and signed communication access.,Strengthens international visibility for sign-language rights.,Symbolic rights recognition and public education.,"Visibility events need to be connected to structural change, not only celebration.",https://wfdeaf.org/un-23-sept-as-international-day-of-sign-languages/,,Official organization page,Verified,Low,,International Day of Sign Languages 2018
TL066,2024,2024-05-09,,2024-07-08,2024-05-09 (effective 2024-07-08),"Remote access, accountability & technology",Law / policy / access,United States,HHS / Section 504,HHS issues major final rule updating Section 504 regulations,"HHS OCR published a final rule on May 9, 2024, effective July 8, 2024, updating and strengthening HHS’s Section 504 regulation; ACL described it as the first comprehensive update in more than 50 years.","A current legal anchor showing that disability-rights implementation is still evolving, not frozen in 1973 or 1990.",Affects the regulatory context for communication access in health and human-services settings covered by HHS.,Potentially strengthens access protections in health and human services.,Ongoing disability-rights enforcement and modernization.,"Updated regulations still require monitoring, enforcement, and practical implementation.",https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/ocr-detailed-504-fact-sheet/index.html,https://acl.gov/504rule,Official government pages,Verified,High,Strong current-endpoint row for discussions about 'where we are now.',Section 504 final rule 2024 HHS
TL067,2024,,,,2024,"Remote access, accountability & technology",Professional standards / Deaf interpreters,United States,RID,RID publishes Professional Practice Paper on Deaf Interpreter,"RID’s resources page lists a 2024 Professional Practice Paper on the Deaf Interpreter and notes that although RID began credentialing Deaf individuals in 1972, a severe shortage of certified Deaf interpreters continues.",A recent profession-facing acknowledgment of Deaf interpreter practice and continuing workforce shortage.,Supports renewed focus on Deaf interpreter development and the role of Deaf interpreters as generalist practitioners.,"Can improve access quality when Deaf interpreter roles are understood, valued, and properly resourced.","Contemporary focus on access quality, specialization, and Deaf-led practice.",Recognition remains uneven and the shortage of certified Deaf interpreters persists.,https://rid.org/resources/,,Official organization page,Verified,Medium,Could later add Deaf interpreter training pipelines and leadership names.,RID Deaf Interpreter Professional Practice Paper 2024
